DataSet,PubID,TrialID,TrtID,IFN,VarName,Varvalue,VarUnits,N,SE,SD
NRC2019,13,-,1,2-04-086,IngredientName,ryegrass,-,-,-,1
NRC2019,13,-,1,2-04-086,Dietary_inclusion,100,%DM,-,-,-
NRC2019,13,-,1,2-04-086,DM,15.7,%,-,-,-
NRC2019,13,-,1,2-04-086,OM,84.9,%DM,-,-,-
NRC2019,13,-,1,2-04-086,CP,15.1,%DM,-,-,-
NRC2019,13,-,1,2-04-086,NDF,39.9,%DM,-,-,-
NRC2019,13,-,1,2-04-086,ADF,21.1,%DM,-,-,-
NRC2019,13,-,2,2-04-086,IngredientName,ryegrass,-,-,-,-
NRC2019,13,-,2,4-00-668,IngredientName,"molassed beet",-,-,-,-
NRC2019,13,-,2,2-04-086,Dietary_inclusion,80.99,%DM,-,-,-
NRC2019,13,-,2,4-00-668,Dietary_inclusion,19.01,%DM,-,-,-
NRC2019,13,-,2,2-04-086,DM,15.7,%,-,-,-
NRC2019,13,-,2,2-04-086,OM,84.9,%DM,-,-,-
NRC2019,13,-,2,2-04-086,CP,15.1,%DM,-,-,-
NRC2019,13,-,2,2-04-086,NDF,39.9,%DM,-,-,-
NRC2019,13,-,2,2-04-086,ADF,21.1,%DM,-,-,-
NRC2019,24,-,3,4-02-935,IngredientName,"corn grain",-,-,-,-
NRC2019,24,-,3,4-05-211,IngredientName,"wheat grain",-,-,-,-
NRC2019,24,-,3,Vit1,IngredientName,"mineral and vitamin mix",-,-,-,-
NRC2019,24,-,3,3-05-184,IngredientName,"wheat silage",-,-,-,-
NRC2019,24,-,3,1-04-069,IngredientName,"rye hay",-,-,-,-
NRC2019,24,-,3,5-02-009,IngredientName,"fish meal",-,-,-,-
NRC2019,24,-,3,4-02-935,Dietary_inclusion,29.85,%DM,-,-,-
NRC2019,24,-,3,4-05-211,Dietary_inclusion,29.85,%DM,-,-,-
NRC2019,24,-,3,Vit1,Dietary_inclusion,2,%DM,-,-,-
NRC2019,24,-,3,3-05-184,Dietary_inclusion,23.4,%DM,-,-,-
NRC2019,24,-,3,1-04-069,Dietary_inclusion,9.5,%DM,-,-,-
NRC2019,24,-,3,5-02-009,Dietary_inclusion,7.4,%DM,-,-,-
NRC2019,24,-,4,4-02-935,IngredientName,"corn grain",-,-,-,-
NRC2019,24,-,4,4-05-211,IngredientName,"wheat grain",-,-,-,-
NRC2019,24,-,4,Vit1,IngredientName,"mineral and vitamin mix",-,-,-,-
NRC2019,24,-,4,3-05-184,IngredientName,"wheat silage",-,-,-,-
NRC2019,24,-,4,1-04-069,IngredientName,"rye hay",-,-,-,-
NRC2019,24,-,4,5-00-385,IngredientName,"meat meal",-,-,-,-
NRC2019,24,-,4,4-02-935,Dietary_inclusion,29.5,%DM,-,-,-
NRC2019,24,-,4,4-05-211,Dietary_inclusion,29.5,%DM,-,-,-
NRC2019,24,-,4,Vit1,Dietary_inclusion,2,%DM,-,-,-
NRC2019,24,-,4,3-05-184,Dietary_inclusion,23.1,%DM,-,-,-
NRC2019,24,-,4,1-04-069,Dietary_inclusion,9.4,%DM,-,-,-
NRC2019,24,-,4,5-00-385,Dietary_inclusion,8.5,%DM,-,-,-
NRC2019,24,-,5,4-02-935,IngredientName,"corn grain",-,-,-,-
NRC2019,24,-,5,4-05-211,IngredientName,"wheat grain",-,-,-,-
NRC2019,24,-,5,Vit1,IngredientName,"mineral and vitamin mix",-,-,-,-
NRC2019,24,-,5,3-05-184,IngredientName,"wheat silage",-,-,-,-
NRC2019,24,-,5,1-04-069,IngredientName,"rye hay",-,-,-,-
NRC2019,24,-,5,5-04-614,IngredientName,"soybean meal",-,-,-,-
NRC2019,24,-,5,4-02-935,Dietary_inclusion,27.6,%DM,-,-,-
NRC2019,24,-,5,4-05-211,Dietary_inclusion,27.6,%DM,-,-,-
NRC2019,24,-,5,Vit1,Dietary_inclusion,2,%DM,-,-,-
NRC2019,24,-,5,3-05-184,Dietary_inclusion,23.3,%DM,-,-,-
NRC2019,24,-,5,1-04-069,Dietary_inclusion,9.5,%DM,-,-,-
NRC2019,24,-,5,5-04-614,Dietary_inclusion,12.1,%DM,-,-,-
NRC2019,24,-,6,4-02-935,IngredientName,"corn grain",-,-,-,-
NRC2019,24,-,6,4-05-211,IngredientName,"wheat grain",-,-,-,-
NRC2019,24,-,6,Vit1,IngredientName,"mineral and vitamin mix",-,-,-,-
NRC2019,24,-,6,3-05-184,IngredientName,"wheat silage",-,-,-,-
NRC2019,24,-,6,1-04-069,IngredientName,"rye hay",-,-,-,-
NRC2019,24,-,6,HtTrtSBM,IngredientName,"heated soybean meal",-,-,-,-
NRC2019,24,-,6,4-02-935,Dietary_inclusion,27.75,%DM,-,-,-
NRC2019,24,-,6,4-05-211,Dietary_inclusion,27.75,%DM,-,-,-
