DataSet,PubID,TrialID,TrtID,SubjectID,InfusionLocation,VarName,VarValue,VarUnits,DayofPeriodStart,DayofPeriodStop,TimeofDayStart,TimeofDayStop
NRC2019,6,-,214,-,Abomasum,Inf_DM_g,0,g/d,-,-,-,-
NRC2019,6,-,215,-,Abomasum,Inf_DM_g,32,g/d,-,-,-,-
NRC2019,6,-,216,-,Abomasum,Inf_DM_g,0,g/d,-,-,-,-
NRC2019,6,-,217,-,Abomasum,Inf_DM_g,32,g/d,-,-,-,-
NRC2019,46,-,46,-,Duodenum,Inf_DM_g,42,g/d,-,-,-,-
NRC2019,46,-,46.1,-,Duodenum,Inf_DM_g,30,g/d,-,-,-,-
NRC2019,46,-,46.2,-,Duodenum,Inf_DM_g,42,g/d,-,-,-,-
NRC2019,46,-,46.3,-,Duodenum,Inf_DM_g,400,g/d,-,-,-,-
NRC2019,46,-,47,-,Duodenum,Inf_DM_g,12,g/d,-,-,-,-
NRC2019,46,-,47.1,-,Duodenum,Inf_DM_g,30,g/d,-,-,-,-
NRC2019,46,-,47.2,-,Duodenum,Inf_DM_g,42,g/d,-,-,-,-
NRC2019,46,-,47.3,-,Duodenum,Inf_DM_g,400,g/d,-,-,-,-
NRC2019,46,-,48,-,Duodenum,Inf_DM_g,10,g/d,-,-,-,-
NRC2019,46,-,48.1,-,Duodenum,Inf_DM_g,25,g/d,-,-,-,-
NRC2019,46,-,48.2,-,Duodenum,Inf_DM_g,35,g/d,-,-,-,-
NRC2019,46,-,48.3,-,Duodenum,Inf_DM_g,333,g/d,-,-,-,-
NRC2019,46,-,49,-,Duodenum,Inf_DM_g,8,g/d,-,-,-,-
NRC2019,46,-,49.1,-,Duodenum,Inf_DM_g,20,g/d,-,-,-,-
NRC2019,46,-,49.2,-,Duodenum,Inf_DM_g,28,g/d,-,-,-,-
NRC2019,46,-,49.3,-,Duodenum,Inf_DM_g,266,g/d,-,-,-,-
NRC2019,86,-,163,-,Duodenum,Inf_DM_g,0,g/d,-,-,-,-
NRC2019,86,-,164,-,Duodenum,Inf_DM_g,20,g/d,-,-,-,-
NRC2019,86,-,165,-,Duodenum,Inf_DM_g,30,g/d,-,-,-,-
NRC2019,86,-,166,-,Duodenum,Inf_DM_g,40,g/d,-,-,-,-
NRC2019,185,-,637,-,Abomasum,Inf_DM_g,250,g/d,-,-,-,-
NRC2019,185,-,638,-,Abomasum,Inf_DM_g,319.6,g/d,-,-,-,-
NRC2019,185,-,639,-,Abomasum,Inf_DM_g,291.7,g/d,-,-,-,-
NRC2019,185,-,640,-,Abomasum,Inf_DM_g,304.7,g/d,-,-,-,-
NRC2019,185,-,641,-,Abomasum,Inf_DM_g,301.3,g/d,-,-,-,-
NRC2019,330,-,1125,-,Duodenum,Inf_DM_g,65,g/d,-,-,-,-
NRC2019,330,-,1126,-,Duodenum,Inf_DM_g,63,g/d,-,-,-,-
NRC2019,330,-,1127,-,Duodenum,Inf_DM_g,61,g/d,-,-,-,-
NRC2019,330,-,1128,-,Duodenum,Inf_DM_g,55,g/d,-,-,-,-
NRC2019,331,-,1129,-,Duodenum,Inf_DM_g,10,g/d,-,-,-,-
NRC2019,331,-,1130,-,Duodenum,Inf_DM_g,23.875,g/d,-,-,-,-
