DataSet,PubID,TrialID,TrtID,SubjectID,PlateID,WellID,SubTrtID,Site_sample,Cell_Type,Day_Sample,Day_Sample2,Time_Sample,VarName,VarValue,VarUnits,N,SE,SD,VarType
"Teixeira 2018",1,1,1,1,-,2w,C052_run1_Pilot1,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,201.62,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,2,-,1w,C052_run1_Pilot2,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,55.92,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,3,-,1w,C052_run1_Pilot3,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,183.55,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,4,-,2w,C052_run1_Pilot4,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,88.64,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,5,-,1w,C052_run1_Pilot5,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,7.33,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,6,-,1w,C052_run1_Pilot6,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,46.05,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,7,-,2w,C052_run1_Pilot7,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric,14.41,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,8,-,1w,C052_run1_Pilot8,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric,93.88,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,9,-,1w,C052_run1_Pilot9,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric,30.02,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,11,-,1w,C052_run1_Pilot11,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric,16.83,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,12,-,1w,C052_run1_Pilot12,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric,66.73,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,13,-,2w,C052_run1_Pilot13,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,17.91,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,14,-,1w,C052_run1_Pilot14,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,50.03,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,15,-,1w,C052_run1_Pilot15,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,21.2,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,16,-,2w,C052_run1_Pilot16,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,98.11,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,17,-,1w,C052_run1_Pilot17,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,159.36,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,18,-,1w,C052_run1_Pilot18,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,24.17,-,-,-,-,"Fatty Acids synthesis"
