DataSet,PubID,TrialID,TrtID,IFN,VarName,VarValue,VarUnits,N,SE,SD
NRC2019,1,1,179,3-02-265,ADF,44.8,%DM,-,-,-
NRC2019,1,1,179,3-02-912,ADF,24.3,%DM,-,-,-
NRC2019,1,1,180,3-02-265,ADF,44.8,%DM,-,-,-
NRC2019,1,1,180,3-02-912,ADF,24.3,%DM,-,-,-
NRC2019,1,1,181,3-02-265,ADF,44.8,%DM,-,-,-
NRC2019,1,1,181,3-02-912,ADF,24.3,%DM,-,-,-
NRC2019,1,1,182,3-02-265,ADF,44.8,%DM,-,-,-
NRC2019,1,1,182,3-02-912,ADF,24.3,%DM,-,-,-
NRC2019,3,1,202,3-00-217,ADF,36.7,%DM,-,-,-
NRC2019,3,1,202,3-02-912,ADF,25.9,%DM,-,-,-
NRC2019,3,1,203,3-00-217,ADF,36.7,%DM,-,-,-
NRC2019,3,1,203,3-02-912,ADF,25.9,%DM,-,-,-
NRC2019,3,1,204,3-00-217,ADF,36.7,%DM,-,-,-
NRC2019,3,1,204,3-02-912,ADF,25.9,%DM,-,-,-
NRC2019,3,1,205,3-00-217,ADF,36.7,%DM,-,-,-
NRC2019,3,1,205,3-02-912,ADF,25.9,%DM,-,-,-
NRC2019,4,1,206,3-00-217,ADF,36.4,%DM,-,-,-
NRC2019,4,1,206,3-02-912,ADF,25.7,%DM,-,-,-
NRC2019,4,1,207,3-00-217,ADF,36.4,%DM,-,-,-
NRC2019,4,1,207,3-02-912,ADF,25.7,%DM,-,-,-
NRC2019,4,1,208,3-00-217,ADF,36.4,%DM,-,-,-
NRC2019,4,1,208,3-02-912,ADF,25.7,%DM,-,-,-
NRC2019,4,1,209,3-00-217,ADF,36.4,%DM,-,-,-
NRC2019,4,1,209,3-02-912,ADF,25.7,%DM,-,-,-
NRC2019,5,1,210,3-00-217,ADF,34.1,%DM,-,-,-
NRC2019,5,1,210,3-02-912,ADF,42.6,%DM,-,-,-
NRC2019,5,1,211,3-00-217,ADF,34.1,%DM,-,-,-
NRC2019,5,1,211,3-02-912,ADF,42.6,%DM,-,-,-
NRC2019,5,1,212,3-00-217,ADF,34.1,%DM,-,-,-
NRC2019,5,1,212,3-02-912,ADF,42.6,%DM,-,-,-
NRC2019,5,1,213,3-00-217,ADF,34.1,%DM,-,-,-
